sensor1,73851,81923
sensor2,73851,81923
sensor3,73851,81923
sensor4,73851,81923
sensor5,73851,81923
sensor6,73851,81923
sensor7,73851,81923
sensor8,73851,81923
sensor9,73851,81923
sensor10,73851,81923
sensor1,137740,409788
sensor2,137740,409788
sensor3,137740,409788
sensor4,137740,409788
sensor5,137740,409788
sensor6,137740,409788
sensor7,137740,409788
sensor8,137740,409788
sensor9,137740,409788
sensor10,137740,409788
sensor1,289192,418751
sensor2,289192,418751
sensor3,289192,418751
sensor4,289192,418751
sensor5,289192,418751
sensor6,289192,418751
sensor7,289192,418751
sensor8,289192,418751
sensor9,289192,418751
sensor10,289192,418751
sensor1,256417,319484
sensor2,256417,319484
sensor3,256417,319484
sensor4,256417,319484
sensor5,256417,319484
sensor6,256417,319484
sensor7,256417,319484
sensor8,256417,319484
sensor9,256417,319484
sensor10,256417,319484
sensor1,128966,137069
sensor2,128966,137069
sensor3,128966,137069
sensor4,128966,137069
sensor5,128966,137069
sensor6,128966,137069
sensor7,128966,137069
sensor8,128966,137069
sensor9,128966,137069
sensor10,128966,137069
sensor1,264133,382590
sensor2,264133,382590
sensor3,264133,382590
sensor4,264133,382590
sensor5,264133,382590
sensor6,264133,382590
sensor7,264133,382590
sensor8,264133,382590
sensor9,264133,382590
sensor10,264133,382590
sensor1,288160,411534
sensor2,288160,411534
sensor3,288160,411534
sensor4,288160,411534
sensor5,288160,411534
sensor6,288160,411534
sensor7,288160,411534
sensor8,288160,411534
sensor9,288160,411534
sensor10,288160,411534
sensor1,181740,433866
sensor2,181740,433866
sensor3,181740,433866
sensor4,181740,433866
sensor5,181740,433866
sensor6,181740,433866
sensor7,181740,433866
sensor8,181740,433866
sensor9,181740,433866
sensor10,181740,433866
sensor1,32438,434977
sensor2,32438,434977
sensor3,32438,434977
sensor4,32438,434977
sensor5,32438,434977
sensor6,32438,434977
sensor7,32438,434977
sensor8,32438,434977
sensor9,32438,434977
sensor10,32438,434977
sensor1,206558,276974
sensor2,206558,276974
sensor3,206558,276974
sensor4,206558,276974
sensor5,206558,276974
sensor6,206558,276974
sensor7,206558,276974
sensor8,206558,276974
sensor9,206558,276974
sensor10,206558,276974
sensor1,318866,460305
sensor2,318866,460305
sensor3,318866,460305
sensor4,318866,460305
sensor5,318866,460305
sensor6,318866,460305
sensor7,318866,460305
sensor8,318866,460305
sensor9,318866,460305
sensor10,318866,460305
sensor1,315814,321319
sensor2,315814,321319
sensor3,315814,321319
sensor4,315814,321319
sensor5,315814,321319
sensor6,315814,321319
sensor7,315814,321319
sensor8,315814,321319
sensor9,315814,321319
sensor10,315814,321319
sensor1,68270,372241
sensor2,68270,372241
sensor3,68270,372241
sensor4,68270,372241
sensor5,68270,372241
sensor6,68270,372241
sensor7,68270,372241
sensor8,68270,372241
sensor9,68270,372241
sensor10,68270,372241
sensor1,137110,452179
sensor2,137110,452179
sensor3,137110,452179
sensor4,137110,452179
sensor5,137110,452179
sensor6,137110,452179
sensor7,137110,452179
sensor8,137110,452179
sensor9,137110,452179
sensor10,137110,452179
sensor1,99613,316528
sensor2,99613,316528
sensor3,99613,316528
sensor4,99613,316528
sensor5,99613,316528
sensor6,99613,316528
sensor7,99613,316528
sensor8,99613,316528
sensor9,99613,316528
sensor10,99613,316528
sensor1,229692,357424
sensor2,229692,357424
sensor3,229692,357424
sensor4,229692,357424
sensor5,229692,357424
sensor6,229692,357424
sensor7,229692,357424
sensor8,229692,357424
sensor9,229692,357424
sensor10,229692,357424
sensor1,114331,231960
sensor2,114331,231960
sensor3,114331,231960
sensor4,114331,231960
sensor5,114331,231960
sensor6,114331,231960
sensor7,114331,231960
sensor8,114331,231960
sensor9,114331,231960
sensor10,114331,231960
sensor1,178721,310609
sensor2,178721,310609
sensor3,178721,310609
sensor4,178721,310609
sensor5,178721,310609
sensor6,178721,310609
sensor7,178721,310609
sensor8,178721,310609
sensor9,178721,310609
sensor10,178721,310609
sensor1,34322,332729
sensor2,34322,332729
sensor3,34322,332729
sensor4,34322,332729
sensor5,34322,332729
sensor6,34322,332729
sensor7,34322,332729
sensor8,34322,332729
sensor9,34322,332729
sensor10,34322,332729
sensor1,224798,426093
sensor2,224798,426093
sensor3,224798,426093
sensor4,224798,426093
sensor5,224798,426093
sensor6,224798,426093
sensor7,224798,426093
sensor8,224798,426093
sensor9,224798,426093
sensor10,224798,426093
sensor1,150212,496607
sensor2,150212,496607
sensor3,150212,496607
sensor4,150212,496607
sensor5,150212,496607
sensor6,150212,496607
sensor7,150212,496607
sensor8,150212,496607
sensor9,150212,496607
sensor10,150212,496607
sensor1,227031,345145
sensor2,227031,345145
sensor3,227031,345145
sensor4,227031,345145
sensor5,227031,345145
sensor6,227031,345145
sensor7,227031,345145
sensor8,227031,345145
sensor9,227031,345145
sensor10,227031,345145
sensor1,463082,483314
sensor2,463082,483314
sensor3,463082,483314
sensor4,463082,483314
sensor5,463082,483314
sensor6,463082,483314
sensor7,463082,483314
sensor8,463082,483314
sensor9,463082,483314
sensor10,463082,483314
sensor1,239007,344276
sensor2,239007,344276
sensor3,239007,344276
sensor4,239007,344276
sensor5,239007,344276
sensor6,239007,344276
sensor7,239007,344276
sensor8,239007,344276
sensor9,239007,344276
sensor10,239007,344276
sensor1,96861,136011
sensor2,96861,136011
sensor3,96861,136011
sensor4,96861,136011
sensor5,96861,136011
sensor6,96861,136011
sensor7,96861,136011
sensor8,96861,136011
sensor9,96861,136011
sensor10,96861,136011
sensor1,27327,454711
sensor2,27327,454711
sensor3,27327,454711
sensor4,27327,454711
sensor5,27327,454711
sensor6,27327,454711
sensor7,27327,454711
sensor8,27327,454711
sensor9,27327,454711
sensor10,27327,454711
sensor1,353722,391667
sensor2,353722,391667
sensor3,353722,391667
sensor4,353722,391667
sensor5,353722,391667
sensor6,353722,391667
sensor7,353722,391667
sensor8,353722,391667
sensor9,353722,391667
sensor10,353722,391667
sensor1,98347,285005
sensor2,98347,285005
sensor3,98347,285005
sensor4,98347,285005
sensor5,98347,285005
sensor6,98347,285005
sensor7,98347,285005
sensor8,98347,285005
sensor9,98347,285005
sensor10,98347,285005
sensor1,410432,495729
sensor2,410432,495729
sensor3,410432,495729
sensor4,410432,495729
sensor5,410432,495729
sensor6,410432,495729
sensor7,410432,495729
sensor8,410432,495729
sensor9,410432,495729
sensor10,410432,495729
sensor1,262472,437664
sensor2,262472,437664
sensor3,262472,437664
sensor4,262472,437664
sensor5,262472,437664
sensor6,262472,437664
sensor7,262472,437664
sensor8,262472,437664
sensor9,262472,437664
sensor10,262472,437664
sensor1,143291,369965
sensor2,143291,369965
sensor3,143291,369965
